tempo,voltagem,spike,corrente_sinaptica
0,-65.00,0,0.00
1,-65.00,0,0.00
2,-65.00,0,0.00
3,-65.00,0,0.00
4,-65.00,0,0.00
5,-65.00,0,0.00
6,-65.00,0,0.00
7,-65.00,0,0.00
8,-65.00,0,0.00
9,-65.00,0,0.00
10,-65.00,0,0.00
11,-65.00,0,0.00
12,-65.00,0,0.00
13,-65.00,0,0.00
14,-65.00,0,0.00
15,-65.00,0,0.00
16,-65.00,0,0.00
17,-65.00,0,0.00
18,-65.00,0,0.00
19,-65.00,0,0.00
20,-65.00,0,0.00
21,-65.00,0,0.00
22,-65.00,0,0.00
23,-65.00,0,0.00
24,-65.00,0,0.00
25,-65.00,0,0.00
26,-65.00,0,0.00
27,-65.00,0,0.00
28,-65.00,0,0.00
29,-65.00,0,0.00
30,-65.00,0,0.00
31,-65.00,0,0.00
32,-65.00,0,0.00
33,-65.00,0,0.00
34,-65.00,0,0.00
35,-65.00,0,0.00
36,-65.00,0,0.00
37,-65.00,0,0.00
38,-65.00,0,0.00
39,-65.00,0,0.00
40,-65.00,0,0.00
41,-65.00,0,0.00
42,-65.00,0,0.00
43,-65.00,0,0.00
44,-65.00,0,0.00
45,-65.00,0,0.00
46,-65.00,0,0.00
47,-65.00,0,0.00
48,-65.00,0,0.00
49,-65.00,0,0.00
50,-65.00,0,0.00
51,-65.00,0,0.00
52,-65.00,0,0.00
53,-65.00,0,0.00
54,-65.00,0,0.00
55,-65.00,0,0.00
56,-65.00,0,0.00
57,-65.00,0,0.00
58,-65.00,0,0.00
59,-65.00,0,0.00
60,-65.00,0,0.00
61,-65.00,0,0.00
62,-65.00,0,0.00
63,-65.00,0,0.00
64,-65.00,0,0.00
65,-65.00,0,0.00
66,-65.00,0,0.00
67,-65.00,0,0.00
68,-65.00,0,0.00
69,-65.00,0,0.00
70,-65.00,0,0.00
71,-65.00,0,0.00
72,-65.00,0,0.00
73,-65.00,0,0.00
74,-65.00,0,0.00
75,-65.00,0,0.00
76,-65.00,0,0.00
77,-65.00,0,0.00
78,-65.00,0,0.00
79,-65.00,0,0.00
80,-65.00,0,0.00
81,-65.00,0,0.00
82,-65.00,0,0.00
83,-65.00,0,0.00
