tempo,voltagem,spike,corrente_sinaptica
0,-64.90,0,0.00
1,-64.80,0,0.00
2,-64.70,0,0.00
3,-64.60,0,0.00
4,-64.50,0,0.00
5,-64.41,0,0.00
6,-64.31,0,0.00
7,-64.21,0,0.00
8,-64.12,0,0.00
9,-64.02,0,0.00
10,-63.93,0,0.00
11,-63.83,0,0.00
12,-63.74,0,0.00
13,-63.64,0,0.00
14,-63.55,0,0.00
15,-63.46,0,0.00
16,-63.37,0,0.00
17,-63.27,0,0.00
18,-63.18,0,0.00
19,-63.09,0,0.00
20,-63.00,0,0.00
21,-62.91,0,0.00
22,-62.82,0,0.00
23,-62.73,0,0.00
24,-62.64,0,0.00
25,-62.56,0,0.00
26,-62.47,0,0.00
27,-62.38,0,0.00
28,-62.29,0,0.00
29,-62.21,0,0.00
30,-62.12,0,0.00
31,-62.04,0,0.00
32,-61.95,0,0.00
33,-61.87,0,0.00
34,-61.78,0,0.00
35,-61.70,0,0.00
36,-61.61,0,0.00
37,-61.53,0,0.00
38,-61.45,0,0.00
39,-61.37,0,0.00
40,-61.28,0,0.00
41,-61.20,0,0.00
42,-61.12,0,0.00
43,-61.04,0,0.00
44,-60.96,0,0.00
45,-60.88,0,0.00
46,-60.80,0,0.00
47,-60.72,0,0.00
48,-60.64,0,0.00
49,-60.57,0,0.00
50,-60.49,0,0.00
51,-60.41,0,0.00
52,-60.33,0,0.00
53,-60.26,0,0.00
54,-60.18,0,0.00
55,-60.11,0,0.00
56,-60.03,0,0.00
57,-59.95,0,0.00
58,-59.88,0,0.00
59,-59.81,0,0.00
60,-59.73,0,0.00
61,-59.66,0,0.00
62,-59.58,0,0.00
63,-59.51,0,0.00
64,-59.44,0,0.00
65,-59.37,0,0.00
66,-59.29,0,0.00
67,-59.22,0,0.00
68,-59.15,0,0.00
69,-59.08,0,0.00
70,-59.01,0,0.00
71,-58.94,0,0.00
72,-58.87,0,0.00
73,-58.80,0,0.00
74,-58.73,0,0.00
75,-58.66,0,0.00
76,-58.60,0,0.00
77,-58.53,0,0.00
78,-58.46,0,0.00
79,-58.39,0,0.00
80,-58.33,0,0.00
81,-58.26,0,0.00
82,-58.19,0,0.00
83,-58.13,0,0.00
84,-58.06,0,0.00
85,-58.00,0,0.00
86,-57.93,0,0.00
87,-57.87,0,0.00
88,-57.80,0,0.00
89,-57.74,0,0.00
90,-57.67,0,0.00
91,-57.61,0,0.00
92,-57.55,0,0.00
93,-57.49,0,0.00
94,-57.42,0,0.00
95,-57.36,0,0.00
96,-57.30,0,0.00
97,-57.24,0,0.00
98,-57.18,0,0.00
99,-57.12,0,0.00
100,-57.05,0,0.00
101,-56.99,0,0.00
102,-56.93,0,0.00
103,-56.87,0,0.00
104,-56.82,0,0.00
105,-56.76,0,0.00
106,-56.70,0,0.00
107,-56.64,0,0.00
108,-56.58,0,0.00
109,-56.52,0,0.00
110,-56.47,0,0.00
111,-56.41,0,0.00
112,-56.35,0,0.00
113,-56.29,0,0.00
114,-56.24,0,0.00
115,-56.18,0,0.00
116,-56.13,0,0.00
117,-56.07,0,0.00
118,-56.01,0,0.00
119,-55.96,0,0.00
120,-55.90,0,0.00
121,-55.85,0,0.00
122,-55.80,0,0.00
123,-55.74,0,0.00
124,-55.69,0,0.00
125,-55.64,0,0.00
126,-55.58,0,0.00
127,-55.53,0,0.00
128,-55.48,0,0.00
129,-55.42,0,0.00
130,-55.37,0,0.00
131,-55.32,0,0.00
132,-55.27,0,0.00
133,-55.22,0,0.00
134,-55.17,0,0.00
135,-55.12,0,0.00
136,-55.06,0,0.00
137,-55.01,0,0.00
138,-54.96,0,0.00
139,-54.91,0,0.00
140,-54.86,0,0.00
141,-54.82,0,0.00
142,-54.77,0,0.00
143,-54.72,0,0.00
144,-54.67,0,0.00
145,-54.62,0,0.00
146,-54.57,0,0.00
147,-54.52,0,0.00
148,-54.48,0,0.00
149,-54.43,0,0.00
150,-54.38,0,0.00
151,-54.34,0,0.00
152,-54.29,0,0.00
153,-54.24,0,0.00
154,-54.20,0,0.00
155,-54.15,0,0.00
156,-54.10,0,0.00
157,-54.06,0,0.00
158,-54.01,0,0.00
159,-53.97,0,0.00
160,-53.92,0,0.00
161,-53.88,0,0.00
162,-53.83,0,0.00
163,-53.79,0,0.00
164,-53.75,0,0.00
165,-53.70,0,0.00
166,-53.66,0,0.00
167,-53.62,0,0.00
168,-53.57,0,0.00
169,-53.53,0,0.00
170,-53.49,0,0.00
171,-53.45,0,0.00
172,-53.40,0,0.00
173,-53.36,0,0.00
174,-53.32,0,0.00
175,-53.28,0,0.00
176,-53.24,0,0.00
177,-53.19,0,0.00
178,-53.15,0,0.00
179,-53.11,0,0.00
180,-53.07,0,0.00
181,-53.03,0,0.00
182,-52.99,0,0.00
183,-52.95,0,0.00
184,-52.91,0,0.00
185,-52.87,0,0.00
186,-52.83,0,0.00
187,-52.79,0,0.00
188,-52.76,0,0.00
189,-52.72,0,0.00
190,-52.68,0,0.00
191,-52.64,0,0.00
192,-52.60,0,0.00
193,-52.56,0,0.00
194,-52.53,0,0.00
