tempo,neuronio,tipo
276,0,EXC
276,1,EXC
276,2,EXC
282,3,EXC
282,4,EXC
282,5,EXC
282,6,EXC
282,7,EXC
282,8,EXC
282,9,EXC
282,10,EXC
282,11,EXC
282,12,EXC
282,13,EXC
282,14,EXC
282,15,EXC
282,16,INH
282,17,INH
282,18,INH
282,19,INH
283,0,EXC
283,1,EXC
283,2,EXC
283,16,INH
283,17,INH
283,18,INH
283,19,INH
284,16,INH
284,17,INH
284,18,INH
284,19,INH
285,16,INH
285,17,INH
285,18,INH
285,19,INH
286,16,INH
286,17,INH
286,18,INH
286,19,INH
288,16,INH
288,17,INH
288,18,INH
288,19,INH
290,16,INH
290,17,INH
290,18,INH
290,19,INH
292,16,INH
292,17,INH
292,18,INH
292,19,INH
294,16,INH
294,17,INH
294,18,INH
294,19,INH
296,16,INH
296,17,INH
296,18,INH
296,19,INH
298,16,INH
298,17,INH
298,18,INH
298,19,INH
300,16,INH
300,17,INH
300,18,INH
300,19,INH
303,16,INH
303,17,INH
303,18,INH
303,19,INH
306,16,INH
306,17,INH
306,18,INH
306,19,INH
309,16,INH
309,17,INH
309,18,INH
309,19,INH
313,16,INH
313,17,INH
313,18,INH
313,19,INH
318,16,INH
318,17,INH
318,18,INH
318,19,INH
324,16,INH
324,17,INH
324,18,INH
324,19,INH
333,16,INH
333,17,INH
333,18,INH
333,19,INH
351,16,INH
351,17,INH
351,18,INH
351,19,INH
