tempo,neuronio,tipo
276,0,EXC
276,1,EXC
276,2,EXC
282,3,EXC
282,4,EXC
282,5,EXC
282,6,EXC
282,7,EXC
282,8,EXC
282,9,EXC
282,10,EXC
282,11,EXC
282,12,EXC
282,13,EXC
282,14,EXC
282,15,EXC
282,16,INH
282,17,INH
282,18,INH
282,19,INH
283,0,EXC
283,1,EXC
283,2,EXC
284,3,EXC
284,4,EXC
284,5,EXC
284,6,EXC
284,7,EXC
284,8,EXC
284,9,EXC
284,10,EXC
284,11,EXC
284,12,EXC
284,13,EXC
284,14,EXC
284,15,EXC
284,16,INH
284,17,INH
284,18,INH
284,19,INH
285,0,EXC
285,1,EXC
285,2,EXC
285,16,INH
285,17,INH
285,18,INH
285,19,INH
286,3,EXC
286,4,EXC
286,5,EXC
286,6,EXC
286,7,EXC
286,8,EXC
286,9,EXC
286,10,EXC
286,11,EXC
286,12,EXC
286,13,EXC
286,14,EXC
286,15,EXC
286,16,INH
286,17,INH
286,18,INH
286,19,INH
287,0,EXC
287,1,EXC
287,2,EXC
287,16,INH
287,17,INH
287,18,INH
287,19,INH
288,3,EXC
288,4,EXC
288,5,EXC
288,6,EXC
288,7,EXC
288,8,EXC
288,9,EXC
288,10,EXC
288,11,EXC
288,12,EXC
288,13,EXC
288,14,EXC
288,15,EXC
288,16,INH
288,17,INH
288,18,INH
288,19,INH
289,0,EXC
289,1,EXC
289,2,EXC
289,16,INH
289,17,INH
289,18,INH
289,19,INH
290,3,EXC
290,4,EXC
290,5,EXC
290,6,EXC
290,7,EXC
290,8,EXC
290,9,EXC
290,10,EXC
290,11,EXC
290,12,EXC
290,13,EXC
290,14,EXC
290,15,EXC
290,16,INH
290,17,INH
290,18,INH
290,19,INH
291,0,EXC
291,1,EXC
291,2,EXC
291,16,INH
291,17,INH
291,18,INH
291,19,INH
292,3,EXC
292,4,EXC
292,5,EXC
292,6,EXC
292,7,EXC
292,8,EXC
292,9,EXC
292,10,EXC
292,11,EXC
292,12,EXC
292,13,EXC
292,14,EXC
292,15,EXC
292,16,INH
292,17,INH
292,18,INH
292,19,INH
293,16,INH
293,17,INH
293,18,INH
293,19,INH
294,0,EXC
294,1,EXC
294,2,EXC
294,16,INH
294,17,INH
294,18,INH
294,19,INH
295,16,INH
295,17,INH
295,18,INH
295,19,INH
297,16,INH
297,17,INH
297,18,INH
297,19,INH
301,16,INH
301,17,INH
301,18,INH
301,19,INH
