tempo,spikes_total,spikes_exc,spikes_inh,mean_potential,mean_syn_current
0,0,0,0,-64.93,0.00
1,0,0,0,-64.87,0.00
2,0,0,0,-64.80,0.00
3,0,0,0,-64.74,0.00
4,0,0,0,-64.67,0.00
5,0,0,0,-64.60,0.00
6,0,0,0,-64.54,0.00
7,0,0,0,-64.48,0.00
8,0,0,0,-64.41,0.00
9,0,0,0,-64.35,0.00
10,0,0,0,-64.28,0.00
11,0,0,0,-64.22,0.00
12,0,0,0,-64.16,0.00
13,0,0,0,-64.10,0.00
14,0,0,0,-64.03,0.00
15,0,0,0,-63.97,0.00
16,0,0,0,-63.91,0.00
17,0,0,0,-63.85,0.00
18,0,0,0,-63.79,0.00
19,0,0,0,-63.73,0.00
20,0,0,0,-63.67,0.00
21,0,0,0,-63.61,0.00
22,0,0,0,-63.55,0.00
23,0,0,0,-63.49,0.00
24,0,0,0,-63.43,0.00
25,0,0,0,-63.37,0.00
26,0,0,0,-63.31,0.00
27,0,0,0,-63.25,0.00
28,0,0,0,-63.20,0.00
29,0,0,0,-63.14,0.00
30,0,0,0,-63.08,0.00
31,0,0,0,-63.02,0.00
32,0,0,0,-62.97,0.00
33,0,0,0,-62.91,0.00
34,0,0,0,-62.85,0.00
35,0,0,0,-62.80,0.00
36,0,0,0,-62.74,0.00
37,0,0,0,-62.69,0.00
38,0,0,0,-62.63,0.00
39,0,0,0,-62.58,0.00
40,0,0,0,-62.52,0.00
41,0,0,0,-62.47,0.00
42,0,0,0,-62.41,0.00
43,0,0,0,-62.36,0.00
44,0,0,0,-62.31,0.00
45,0,0,0,-62.25,0.00
46,0,0,0,-62.20,0.00
47,0,0,0,-62.15,0.00
48,0,0,0,-62.10,0.00
49,0,0,0,-62.04,0.00
50,0,0,0,-61.99,0.00
51,0,0,0,-61.94,0.00
52,0,0,0,-61.89,0.00
53,0,0,0,-61.84,0.00
54,0,0,0,-61.79,0.00
55,0,0,0,-61.74,0.00
56,0,0,0,-61.69,0.00
57,0,0,0,-61.64,0.00
58,0,0,0,-61.59,0.00
59,0,0,0,-61.54,0.00
60,0,0,0,-61.49,0.00
61,0,0,0,-61.44,0.00
62,0,0,0,-61.39,0.00
63,0,0,0,-61.34,0.00
64,0,0,0,-61.29,0.00
65,0,0,0,-61.24,0.00
66,0,0,0,-61.20,0.00
67,0,0,0,-61.15,0.00
68,0,0,0,-61.10,0.00
69,0,0,0,-61.05,0.00
70,0,0,0,-61.01,0.00
71,0,0,0,-60.96,0.00
72,0,0,0,-60.91,0.00
73,0,0,0,-60.87,0.00
74,0,0,0,-60.82,0.00
75,0,0,0,-60.78,0.00
76,0,0,0,-60.73,0.00
77,0,0,0,-60.69,0.00
78,0,0,0,-60.64,0.00
79,0,0,0,-60.60,0.00
80,0,0,0,-60.55,0.00
81,0,0,0,-60.51,0.00
82,0,0,0,-60.46,0.00
83,0,0,0,-60.42,0.00
84,0,0,0,-60.37,0.00
85,0,0,0,-60.33,0.00
86,0,0,0,-60.29,0.00
87,0,0,0,-60.24,0.00
88,0,0,0,-60.20,0.00
89,0,0,0,-60.16,0.00
90,0,0,0,-60.12,0.00
91,0,0,0,-60.07,0.00
92,0,0,0,-60.03,0.00
93,0,0,0,-59.99,0.00
94,0,0,0,-59.95,0.00
95,0,0,0,-59.91,0.00
96,0,0,0,-59.87,0.00
97,0,0,0,-59.82,0.00
98,0,0,0,-59.78,0.00
99,0,0,0,-59.74,0.00
100,0,0,0,-59.70,0.00
101,0,0,0,-59.66,0.00
102,0,0,0,-59.62,0.00
103,0,0,0,-59.58,0.00
104,0,0,0,-59.54,0.00
105,0,0,0,-59.50,0.00
106,0,0,0,-59.47,0.00
107,0,0,0,-59.43,0.00
108,0,0,0,-59.39,0.00
109,0,0,0,-59.35,0.00
110,0,0,0,-59.31,0.00
111,0,0,0,-59.27,0.00
112,0,0,0,-59.23,0.00
113,0,0,0,-59.20,0.00
114,0,0,0,-59.16,0.00
115,0,0,0,-59.12,0.00
116,0,0,0,-59.08,0.00
117,0,0,0,-59.05,0.00
118,0,0,0,-59.01,0.00
119,0,0,0,-58.97,0.00
120,0,0,0,-58.94,0.00
121,0,0,0,-58.90,0.00
122,0,0,0,-58.86,0.00
123,0,0,0,-58.83,0.00
124,0,0,0,-58.79,0.00
125,0,0,0,-58.76,0.00
126,0,0,0,-58.72,0.00
