tempo,spikes_total,spikes_exc,spikes_inh,mean_potential,mean_syn_current
0,0,0,0,-64.99,0.00
1,0,0,0,-64.98,0.00
2,0,0,0,-64.97,0.00
3,0,0,0,-64.96,0.00
4,0,0,0,-64.95,0.00
5,0,0,0,-64.94,0.00
6,0,0,0,-64.93,0.00
7,0,0,0,-64.92,0.00
8,0,0,0,-64.91,0.00
9,0,0,0,-64.90,0.00
10,0,0,0,-64.89,0.00
11,0,0,0,-64.88,0.00
12,0,0,0,-64.87,0.00
13,0,0,0,-64.86,0.00
14,0,0,0,-64.86,0.00
15,0,0,0,-64.85,0.00
16,0,0,0,-64.84,0.00
17,0,0,0,-64.83,0.00
18,0,0,0,-64.82,0.00
19,0,0,0,-64.81,0.00
20,0,0,0,-64.80,0.00
21,0,0,0,-64.79,0.00
22,0,0,0,-64.78,0.00
23,0,0,0,-64.77,0.00
24,0,0,0,-64.76,0.00
25,0,0,0,-64.76,0.00
26,0,0,0,-64.75,0.00
27,0,0,0,-64.74,0.00
28,0,0,0,-64.73,0.00
29,0,0,0,-64.72,0.00
30,0,0,0,-64.71,0.00
31,0,0,0,-64.70,0.00
32,0,0,0,-64.70,0.00
33,0,0,0,-64.69,0.00
34,0,0,0,-64.68,0.00
35,0,0,0,-64.67,0.00
36,0,0,0,-64.66,0.00
37,0,0,0,-64.65,0.00
38,0,0,0,-64.64,0.00
39,0,0,0,-64.64,0.00
40,0,0,0,-64.63,0.00
41,0,0,0,-64.62,0.00
42,0,0,0,-64.61,0.00
43,0,0,0,-64.60,0.00
44,0,0,0,-64.60,0.00
45,0,0,0,-64.59,0.00
46,0,0,0,-64.58,0.00
47,0,0,0,-64.57,0.00
48,0,0,0,-64.56,0.00
49,0,0,0,-64.56,0.00
50,0,0,0,-64.55,0.00
51,0,0,0,-64.54,0.00
52,0,0,0,-64.53,0.00
53,0,0,0,-64.53,0.00
54,0,0,0,-64.52,0.00
55,0,0,0,-64.51,0.00
56,0,0,0,-64.50,0.00
57,0,0,0,-64.50,0.00
58,0,0,0,-64.49,0.00
59,0,0,0,-64.48,0.00
60,0,0,0,-64.47,0.00
61,0,0,0,-64.47,0.00
62,0,0,0,-64.46,0.00
63,0,0,0,-64.45,0.00
64,0,0,0,-64.44,0.00
65,0,0,0,-64.44,0.00
66,0,0,0,-64.43,0.00
67,0,0,0,-64.42,0.00
68,0,0,0,-64.42,0.00
69,0,0,0,-64.41,0.00
70,0,0,0,-64.40,0.00
71,0,0,0,-64.39,0.00
72,0,0,0,-64.39,0.00
73,0,0,0,-64.38,0.00
74,0,0,0,-64.37,0.00
75,0,0,0,-64.37,0.00
76,0,0,0,-64.36,0.00
77,0,0,0,-64.35,0.00
78,0,0,0,-64.35,0.00
79,0,0,0,-64.34,0.00
80,0,0,0,-64.33,0.00
81,0,0,0,-64.33,0.00
82,0,0,0,-64.32,0.00
83,0,0,0,-64.31,0.00
84,0,0,0,-64.31,0.00
85,0,0,0,-64.30,0.00
86,0,0,0,-64.29,0.00
87,0,0,0,-64.29,0.00
88,0,0,0,-64.28,0.00
89,0,0,0,-64.27,0.00
90,0,0,0,-64.27,0.00
91,0,0,0,-64.26,0.00
92,0,0,0,-64.25,0.00
93,0,0,0,-64.25,0.00
94,0,0,0,-64.24,0.00
95,0,0,0,-64.24,0.00
96,0,0,0,-64.23,0.00
97,0,0,0,-64.22,0.00
98,0,0,0,-64.22,0.00
99,0,0,0,-64.21,0.00
100,0,0,0,-64.21,0.00
101,0,0,0,-64.20,0.00
102,0,0,0,-64.19,0.00
103,0,0,0,-64.19,0.00
104,0,0,0,-64.18,0.00
105,0,0,0,-64.18,0.00
106,0,0,0,-64.17,0.00
107,0,0,0,-64.16,0.00
108,0,0,0,-64.16,0.00
109,0,0,0,-64.15,0.00
110,0,0,0,-64.15,0.00
111,0,0,0,-64.14,0.00
112,0,0,0,-64.14,0.00
113,0,0,0,-64.13,0.00
114,0,0,0,-64.12,0.00
115,0,0,0,-64.12,0.00
116,0,0,0,-64.11,0.00
117,0,0,0,-64.11,0.00
118,0,0,0,-64.10,0.00
119,0,0,0,-64.10,0.00
120,0,0,0,-64.09,0.00
121,0,0,0,-64.09,0.00
122,0,0,0,-64.08,0.00
123,0,0,0,-64.07,0.00
124,0,0,0,-64.07,0.00
125,0,0,0,-64.06,0.00
126,0,0,0,-64.06,0.00
127,0,0,0,-64.05,0.00
128,0,0,0,-64.05,0.00
129,0,0,0,-64.04,0.00
130,0,0,0,-64.04,0.00
131,0,0,0,-64.03,0.00
132,0,0,0,-64.03,0.00
133,0,0,0,-64.02,0.00
134,0,0,0,-64.02,0.00
135,0,0,0,-64.01,0.00
136,0,0,0,-64.01,0.00
137,0,0,0,-64.00,0.00
138,0,0,0,-64.00,0.00
139,0,0,0,-63.99,0.00
140,0,0,0,-63.99,0.00
141,0,0,0,-63.98,0.00
142,0,0,0,-63.98,0.00
143,0,0,0,-63.97,0.00
144,0,0,0,-63.97,0.00
145,0,0,0,-63.96,0.00
146,0,0,0,-63.96,0.00
147,0,0,0,-63.95,0.00
148,0,0,0,-63.95,0.00
149,0,0,0,-63.94,0.00
150,0,0,0,-63.94,0.00
151,0,0,0,-63.93,0.00
152,0,0,0,-63.93,0.00
