tempo,neuronio,tipo
276,0,EXC
276,1,EXC
276,2,EXC
282,3,EXC
282,4,EXC
282,5,EXC
282,6,EXC
282,7,EXC
282,8,EXC
282,9,EXC
282,10,EXC
282,11,EXC
282,12,EXC
282,13,EXC
282,14,EXC
282,15,EXC
282,16,INH
282,17,INH
282,18,INH
282,19,INH
283,0,EXC
283,1,EXC
283,2,EXC
284,3,EXC
284,4,EXC
284,5,EXC
284,6,EXC
284,7,EXC
284,8,EXC
284,9,EXC
284,10,EXC
284,11,EXC
284,12,EXC
284,13,EXC
284,14,EXC
284,15,EXC
284,16,INH
284,17,INH
284,18,INH
284,19,INH
285,0,EXC
285,1,EXC
285,2,EXC
285,16,INH
285,17,INH
285,18,INH
285,19,INH
286,3,EXC
286,4,EXC
286,5,EXC
286,6,EXC
286,7,EXC
286,8,EXC
286,9,EXC
286,10,EXC
286,11,EXC
286,12,EXC
286,13,EXC
286,14,EXC
286,15,EXC
287,0,EXC
287,1,EXC
287,2,EXC
287,3,EXC
287,4,EXC
287,5,EXC
287,6,EXC
287,7,EXC
287,8,EXC
287,9,EXC
287,10,EXC
287,11,EXC
287,12,EXC
287,13,EXC
287,14,EXC
287,15,EXC
287,16,INH
287,17,INH
287,18,INH
287,19,INH
288,0,EXC
288,1,EXC
288,2,EXC
288,3,EXC
288,4,EXC
288,5,EXC
288,6,EXC
288,7,EXC
288,8,EXC
288,9,EXC
288,10,EXC
288,11,EXC
288,12,EXC
288,13,EXC
288,14,EXC
288,15,EXC
288,16,INH
288,17,INH
288,18,INH
288,19,INH
289,0,EXC
289,1,EXC
289,2,EXC
289,3,EXC
289,4,EXC
289,5,EXC
289,6,EXC
289,7,EXC
289,8,EXC
289,9,EXC
289,10,EXC
289,11,EXC
289,12,EXC
289,13,EXC
289,14,EXC
289,15,EXC
289,16,INH
289,17,INH
289,18,INH
289,19,INH
290,0,EXC
290,1,EXC
290,2,EXC
290,3,EXC
290,4,EXC
290,5,EXC
290,6,EXC
290,7,EXC
290,8,EXC
290,9,EXC
290,10,EXC
290,11,EXC
290,12,EXC
290,13,EXC
290,14,EXC
290,15,EXC
290,16,INH
290,17,INH
290,18,INH
290,19,INH
291,0,EXC
291,1,EXC
291,2,EXC
291,3,EXC
291,4,EXC
291,5,EXC
291,6,EXC
291,7,EXC
291,8,EXC
291,9,EXC
291,10,EXC
291,11,EXC
291,12,EXC
291,13,EXC
291,14,EXC
291,15,EXC
291,16,INH
291,17,INH
291,18,INH
291,19,INH
292,0,EXC
292,1,EXC
292,2,EXC
292,3,EXC
292,4,EXC
292,5,EXC
292,6,EXC
292,7,EXC
292,8,EXC
292,9,EXC
292,10,EXC
292,11,EXC
292,12,EXC
292,13,EXC
292,14,EXC
292,15,EXC
292,16,INH
292,17,INH
292,18,INH
292,19,INH
293,0,EXC
293,1,EXC
293,2,EXC
293,3,EXC
293,4,EXC
293,5,EXC
293,6,EXC
293,7,EXC
293,8,EXC
293,9,EXC
293,10,EXC
293,11,EXC
293,12,EXC
293,13,EXC
293,14,EXC
293,15,EXC
293,16,INH
293,17,INH
293,18,INH
293,19,INH
294,0,EXC
294,1,EXC
294,2,EXC
294,3,EXC
294,4,EXC
294,5,EXC
294,6,EXC
294,7,EXC
294,8,EXC
294,9,EXC
294,10,EXC
294,11,EXC
294,12,EXC
294,13,EXC
294,14,EXC
294,15,EXC
294,16,INH
294,17,INH
294,18,INH
294,19,INH
295,0,EXC
295,1,EXC
295,2,EXC
295,3,EXC
295,4,EXC
295,5,EXC
295,6,EXC
295,7,EXC
295,8,EXC
295,9,EXC
295,10,EXC
295,11,EXC
295,12,EXC
295,13,EXC
295,14,EXC
295,15,EXC
295,16,INH
295,17,INH
295,18,INH
295,19,INH
296,0,EXC
296,1,EXC
296,2,EXC
296,3,EXC
296,4,EXC
296,5,EXC
296,6,EXC
296,7,EXC
296,8,EXC
296,9,EXC
296,10,EXC
296,11,EXC
296,12,EXC
296,13,EXC
296,14,EXC
296,15,EXC
296,16,INH
296,17,INH
296,18,INH
296,19,INH
297,0,EXC
297,1,EXC
297,2,EXC
297,3,EXC
297,4,EXC
297,5,EXC
297,6,EXC
297,7,EXC
297,8,EXC
297,9,EXC
297,10,EXC
297,11,EXC
297,12,EXC
297,13,EXC
297,14,EXC
297,15,EXC
297,16,INH
297,17,INH
297,18,INH
297,19,INH
298,0,EXC
298,1,EXC
298,2,EXC
298,3,EXC
298,4,EXC
298,5,EXC
298,6,EXC
298,7,EXC
298,8,EXC
298,9,EXC
298,10,EXC
298,11,EXC
298,12,EXC
298,13,EXC
298,14,EXC
298,15,EXC
298,16,INH
298,17,INH
298,18,INH
298,19,INH
299,0,EXC
299,1,EXC
299,2,EXC
299,3,EXC
299,4,EXC
299,5,EXC
299,6,EXC
299,7,EXC
299,8,EXC
299,9,EXC
299,10,EXC
299,11,EXC
299,12,EXC
299,13,EXC
299,14,EXC
299,15,EXC
299,16,INH
299,17,INH
299,18,INH
299,19,INH
300,0,EXC
300,1,EXC
300,2,EXC
300,3,EXC
300,4,EXC
300,5,EXC
300,6,EXC
300,7,EXC
300,8,EXC
