arquitetura,probabilidade,seed,conexoes_total,conexoes_exc_exc,conexoes_exc_inh,conexoes_inh_exc,conexoes_inh_inh,spikes_exc_total,spikes_inh_total,spikes_exc_ultimos_100,spikes_inh_ultimos_100,timesteps_exc_ativos_ultimos_100,timesteps_inh_ativos_ultimos_100,ultimo_timestep_exc,ultimo_timestep_inh
random_all_connections,0.25,1,94,55,21,13,5,6677,2156,1067,333,100,100,999,999
random_all_connections,0.25,2,109,60,21,21,7,5816,2036,850,300,100,100,999,999
random_all_connections,0.25,3,97,63,20,10,4,11001,2070,1600,300,100,100,999,999
random_all_connections,0.25,4,90,53,18,17,2,1218,1059,192,178,100,100,999,999
random_all_connections,0.25,5,94,59,15,18,2,6884,2087,1000,300,100,100,999,999
random_all_connections,0.25,6,106,63,21,19,3,7055,1661,1050,250,100,100,999,999
random_all_connections,0.25,7,85,52,16,12,5,7573,1387,1102,201,100,100,999,999
random_all_connections,0.25,8,96,69,9,15,3,9111,1408,1300,200,100,100,999,999
random_all_connections,0.25,9,94,55,20,16,3,4502,1906,700,300,100,100,999,999
random_all_connections,0.25,10,82,58,11,12,1,8208,1346,1300,200,100,100,999,999
random_all_connections,0.50,1,181,110,34,30,7,9948,2734,1500,400,100,100,999,999
random_all_connections,0.50,2,198,114,37,38,9,2686,1251,376,177,100,100,999,999
random_all_connections,0.50,3,194,124,39,24,7,11100,2777,1600,400,100,100,999,999
random_all_connections,0.50,4,196,124,32,36,4,27,31,0,0,0,0,300,352
random_all_connections,0.50,5,190,117,32,34,7,4362,1767,600,250,100,100,999,999
random_all_connections,0.50,6,186,119,34,30,3,9178,2784,1300,400,100,100,999,999
random_all_connections,0.50,7,183,112,34,32,5,3039,1526,435,220,100,100,999,999
random_all_connections,0.50,8,190,123,30,31,6,8436,2132,1200,300,100,100,999,999
random_all_connections,0.50,9,182,111,32,32,7,8223,2054,1200,300,100,100,999,999
random_all_connections,0.50,10,167,110,31,25,1,47,68,0,0,0,0,342,390
random_all_connections,0.75,1,297,186,49,51,11,10652,2843,1500,400,100,100,999,999
random_all_connections,0.75,2,287,179,52,46,10,6373,2831,900,400,100,100,999,999
random_all_connections,0.75,3,281,181,50,40,10,11356,2840,1600,400,100,100,999,999
random_all_connections,0.75,4,294,186,52,47,9,11408,2857,1600,400,100,100,999,999
random_all_connections,0.75,5,280,171,46,53,10,18,15,0,2,0,2,895,912
random_all_connections,0.75,6,288,180,50,50,8,3896,1732,556,247,100,100,999,999
random_all_connections,0.75,7,271,171,49,43,8,10987,2808,1600,400,100,100,999,999
random_all_connections,0.75,8,286,181,47,49,9,7958,2588,1200,400,100,100,999,999
random_all_connections,0.75,9,298,188,52,49,9,8693,2220,1600,400,100,100,999,999
random_all_connections,0.75,10,282,177,48,48,9,39,48,0,0,0,0,333,362
random_all_connections,1.00,1,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,2,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,3,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,4,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,5,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,6,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,7,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,8,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,9,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_all_connections,1.00,10,380,240,64,64,12,11456,2864,1600,400,100,100,999,999
random_no_inh_to_inh,0.25,1,89,55,21,13,0,3774,2542,600,400,100,100,999,999
random_no_inh_to_inh,0.25,2,102,60,21,21,0,2804,2752,400,400,100,100,999,999
random_no_inh_to_inh,0.25,3,93,63,20,10,0,10279,2756,1500,400,100,100,999,999
random_no_inh_to_inh,0.25,4,88,53,18,17,0,1150,979,188,172,100,100,999,999
