arquitetura,probabilidade,seed,conexoes,spikes_totais,pico_spikes,timesteps_ativos,ultimo_timestep_ativo,primeiro_timestep_sincronizacao_total,atividade_sustentada
random_all_connections,0.25,1,94,8833,16,698,999,-1,1
random_all_connections,0.25,2,109,7852,12,709,999,-1,1
random_all_connections,0.25,3,97,13071,19,711,999,-1,1
random_all_connections,0.25,4,90,2277,6,681,999,-1,1
random_all_connections,0.25,5,94,8971,13,714,999,-1,1
random_all_connections,0.25,6,106,8716,18,691,999,-1,1
random_all_connections,0.25,7,85,8960,14,705,999,-1,1
random_all_connections,0.25,8,96,10519,17,713,999,-1,1
random_all_connections,0.25,9,94,6408,11,709,999,-1,1
random_all_connections,0.25,10,82,9554,15,707,999,-1,1
random_all_connections,0.50,1,181,12682,19,714,999,-1,1
random_all_connections,0.50,2,198,3937,8,715,999,-1,1
random_all_connections,0.50,3,194,13877,20,713,999,320,1
random_all_connections,0.50,4,196,58,7,30,352,-1,0
random_all_connections,0.50,5,190,6129,13,716,999,-1,1
random_all_connections,0.50,6,186,11962,19,718,999,-1,1
random_all_connections,0.50,7,183,4565,9,718,999,-1,1
random_all_connections,0.50,8,190,10568,16,718,999,-1,1
random_all_connections,0.50,9,182,10277,16,711,999,-1,1
random_all_connections,0.50,10,167,115,6,53,390,-1,0
random_all_connections,0.75,1,297,13495,19,718,999,-1,1
random_all_connections,0.75,2,287,9204,13,719,999,-1,1
random_all_connections,0.75,3,281,14196,20,718,999,297,1
random_all_connections,0.75,4,294,14265,20,719,999,296,1
random_all_connections,0.75,5,280,33,7,21,912,-1,1
random_all_connections,0.75,6,288,5628,12,719,999,-1,1
random_all_connections,0.75,7,271,13795,20,719,999,380,1
random_all_connections,0.75,8,286,10546,19,719,999,-1,1
random_all_connections,0.75,9,298,10913,20,663,999,521,1
random_all_connections,0.75,10,282,87,11,45,362,-1,0
random_all_connections,1.00,1,380,14320,20,719,999,287,1
random_all_connections,1.00,2,380,14320,20,719,999,287,1
random_all_connections,1.00,3,380,14320,20,719,999,287,1
random_all_connections,1.00,4,380,14320,20,719,999,287,1
random_all_connections,1.00,5,380,14320,20,719,999,287,1
random_all_connections,1.00,6,380,14320,20,719,999,287,1
random_all_connections,1.00,7,380,14320,20,719,999,287,1
random_all_connections,1.00,8,380,14320,20,719,999,287,1
random_all_connections,1.00,9,380,14320,20,719,999,287,1
random_all_connections,1.00,10,380,14320,20,719,999,287,1
random_no_inh_to_inh,0.25,1,89,6316,11,693,999,-1,1
random_no_inh_to_inh,0.25,2,102,5556,10,710,999,-1,1
random_no_inh_to_inh,0.25,3,93,13035,19,710,999,-1,1
random_no_inh_to_inh,0.25,4,88,2129,7,680,999,-1,1
random_no_inh_to_inh,0.25,5,92,745,10,188,985,-1,1
random_no_inh_to_inh,0.25,6,103,877,5,492,999,-1,1
random_no_inh_to_inh,0.25,7,80,8645,15,705,999,-1,1
random_no_inh_to_inh,0.25,8,93,8412,13,713,999,-1,1
random_no_inh_to_inh,0.25,9,91,6496,10,710,999,-1,1
random_no_inh_to_inh,0.25,10,81,9636,16,707,999,-1,1
random_no_inh_to_inh,0.50,1,174,51,8,33,365,-1,0
random_no_inh_to_inh,0.50,2,189,71,3,46,372,-1,0
random_no_inh_to_inh,0.50,3,187,84,6,54,824,-1,0
random_no_inh_to_inh,0.50,4,192,66,7,36,361,-1,0
random_no_inh_to_inh,0.50,5,183,79,4,51,781,-1,0
random_no_inh_to_inh,0.50,6,183,74,5,49,413,-1,0
random_no_inh_to_inh,0.50,7,178,1258,4,594,999,-1,1
random_no_inh_to_inh,0.50,8,184,168,7,73,418,-1,0
random_no_inh_to_inh,0.50,9,175,31,3,25,346,-1,0
random_no_inh_to_inh,0.50,10,166,129,6,55,390,-1,0
random_no_inh_to_inh,0.75,1,286,35,5,19,344,-1,0
random_no_inh_to_inh,0.75,2,277,68,8,39,344,-1,0
random_no_inh_to_inh,0.75,3,271,42,6,25,342,-1,0
random_no_inh_to_inh,0.75,4,285,141,9,56,378,-1,0
random_no_inh_to_inh,0.75,5,270,34,7,18,342,-1,0
random_no_inh_to_inh,0.75,6,280,86,6,42,369,-1,0
random_no_inh_to_inh,0.75,7,263,79,10,38,349,-1,0
random_no_inh_to_inh,0.75,8,277,82,9,45,366,-1,0
random_no_inh_to_inh,0.75,9,289,38,8,18,342,-1,0
random_no_inh_to_inh,0.75,10,273,61,11,32,350,-1,0
random_no_inh_to_inh,1.00,1,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,2,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,3,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,4,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,5,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,6,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,7,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,8,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,9,368,99,17,21,351,-1,0
random_no_inh_to_inh,1.00,10,368,99,17,21,351,-1,0
