tempo,V,spike,corrente_externa,corrente_sinaptica
0,-65.00,0,0.00,0.00
1,-65.00,0,0.00,0.00
2,-65.00,0,0.00,0.00
3,-65.00,0,0.00,0.00
4,-65.00,0,0.00,0.00
5,-65.00,0,0.00,0.00
6,-65.00,0,0.00,0.00
7,-65.00,0,0.00,0.00
8,-65.00,0,0.00,0.00
9,-65.00,0,0.00,0.00
10,-65.00,0,0.00,0.00
11,-65.00,0,0.00,0.00
12,-65.00,0,0.00,0.00
13,-65.00,0,0.00,0.00
14,-65.00,0,0.00,0.00
15,-65.00,0,0.00,0.00
16,-65.00,0,0.00,0.00
17,-65.00,0,0.00,0.00
18,-65.00,0,0.00,0.00
19,-65.00,0,0.00,0.00
20,-65.00,0,0.00,0.00
21,-65.00,0,0.00,0.00
22,-65.00,0,0.00,0.00
23,-65.00,0,0.00,0.00
24,-65.00,0,0.00,0.00
25,-65.00,0,0.00,0.00
26,-65.00,0,0.00,0.00
27,-65.00,0,0.00,0.00
28,-65.00,0,0.00,0.00
29,-65.00,0,0.00,0.00
30,-65.00,0,0.00,0.00
31,-65.00,0,0.00,0.00
32,-65.00,0,0.00,0.00
33,-65.00,0,0.00,0.00
34,-65.00,0,0.00,0.00
35,-65.00,0,0.00,0.00
36,-65.00,0,0.00,0.00
37,-65.00,0,0.00,0.00
38,-65.00,0,0.00,0.00
39,-65.00,0,0.00,0.00
40,-65.00,0,0.00,0.00
41,-65.00,0,0.00,0.00
42,-65.00,0,0.00,0.00
43,-65.00,0,0.00,0.00
44,-65.00,0,0.00,0.00
45,-65.00,0,0.00,0.00
46,-65.00,0,0.00,0.00
47,-65.00,0,0.00,0.00
48,-65.00,0,0.00,0.00
49,-65.00,0,0.00,0.00
50,-65.00,0,0.00,0.00
51,-65.00,0,0.00,0.00
52,-65.00,0,0.00,0.00
53,-65.00,0,0.00,0.00
54,-65.00,0,0.00,0.00
55,-65.00,0,0.00,0.00
56,-65.00,0,0.00,0.00
57,-65.00,0,0.00,0.00
58,-65.00,0,0.00,0.00
59,-65.00,0,0.00,0.00
60,-65.00,0,0.00,0.00
61,-65.00,0,0.00,0.00
62,-65.00,0,0.00,0.00
63,-65.00,0,0.00,0.00
64,-65.00,0,0.00,0.00
65,-65.00,0,0.00,0.00
66,-65.00,0,0.00,0.00
67,-65.00,0,0.00,0.00
68,-65.00,0,0.00,0.00
69,-65.00,0,0.00,0.00
70,-65.00,0,0.00,0.00
71,-65.00,0,0.00,0.00
72,-65.00,0,0.00,0.00
73,-65.00,0,0.00,0.00
74,-65.00,0,0.00,0.00
75,-65.00,0,0.00,0.00
76,-65.00,0,0.00,0.00
77,-65.00,0,0.00,0.00
78,-65.00,0,0.00,0.00
79,-65.00,0,0.00,0.00
80,-65.00,0,0.00,0.00
81,-65.00,0,0.00,0.00
82,-65.00,0,0.00,0.00
83,-65.00,0,0.00,0.00
84,-65.00,0,0.00,0.00
85,-65.00,0,0.00,0.00
86,-65.00,0,0.00,0.00
87,-65.00,0,0.00,0.00
88,-65.00,0,0.00,0.00
89,-65.00,0,0.00,0.00
90,-65.00,0,0.00,0.00
91,-65.00,0,0.00,0.00
92,-65.00,0,0.00,0.00
93,-65.00,0,0.00,0.00
94,-65.00,0,0.00,0.00
95,-65.00,0,0.00,0.00
96,-65.00,0,0.00,0.00
97,-65.00,0,0.00,0.00
98,-65.00,0,0.00,0.00
99,-65.00,0,0.00,0.00
100,-65.00,0,0.00,0.00
101,-65.00,0,0.00,0.00
102,-65.00,0,0.00,0.00
103,-65.00,0,0.00,0.00
104,-65.00,0,0.00,0.00
105,-65.00,0,0.00,0.00
106,-65.00,0,0.00,0.00
107,-65.00,0,0.00,0.00
108,-65.00,0,0.00,0.00
109,-65.00,0,0.00,0.00
110,-65.00,0,0.00,0.00
111,-65.00,0,0.00,0.00
112,-65.00,0,0.00,0.00
113,-65.00,0,0.00,0.00
114,-65.00,0,0.00,0.00
115,-65.00,0,0.00,0.00
116,-65.00,0,0.00,0.00
117,-65.00,0,0.00,0.00
118,-65.00,0,0.00,0.00
119,-65.00,0,0.00,0.00
120,-65.00,0,0.00,0.00
121,-65.00,0,0.00,0.00
122,-65.00,0,0.00,0.00
123,-65.00,0,0.00,0.00
124,-65.00,0,0.00,0.00
125,-65.00,0,0.00,0.00
126,-65.00,0,0.00,0.00
127,-65.00,0,0.00,0.00
128,-65.00,0,0.00,0.00
129,-65.00,0,0.00,0.00
130,-65.00,0,0.00,0.00
131,-65.00,0,0.00,0.00
132,-65.00,0,0.00,0.00
133,-65.00,0,0.00,0.00
134,-65.00,0,0.00,0.00
135,-65.00,0,0.00,0.00
136,-65.00,0,0.00,0.00
137,-65.00,0,0.00,0.00
138,-65.00,0,0.00,0.00
139,-65.00,0,0.00,0.00
140,-65.00,0,0.00,0.00
141,-65.00,0,0.00,0.00
142,-65.00,0,0.00,0.00
143,-65.00,0,0.00,0.00
144,-65.00,0,0.00,0.00
145,-65.00,0,0.00,0.00
146,-65.00,0,0.00,0.00
147,-65.00,0,0.00,0.00
148,-65.00,0,0.00,0.00
149,-65.00,0,0.00,0.00
150,-65.00,0,0.00,0.00
151,-65.00,0,0.00,0.00
152,-65.00,0,0.00,0.00
153,-65.00,0,0.00,0.00
154,-65.00,0,0.00,0.00
155,-65.00,0,0.00,0.00
156,-65.00,0,0.00,0.00
157,-65.00,0,0.00,0.00
158,-65.00,0,0.00,0.00
159,-65.00,0,0.00,0.00
160,-65.00,0,0.00,0.00
161,-65.00,0,0.00,0.00
162,-65.00,0,0.00,0.00
163,-65.00,0,0.00,0.00
164,-65.00,0,0.00,0.00
165,-65.00,0,0.00,0.00
166,-65.00,0,0.00,0.00
167,-65.00,0,0.00,0.00
168,-65.00,0,0.00,0.00
169,-65.00,0,0.00,0.00
170,-65.00,0,0.00,0.00
171,-65.00,0,0.00,0.00
172,-65.00,0,0.00,0.00
173,-65.00,0,0.00,0.00
174,-65.00,0,0.00,0.00
175,-65.00,0,0.00,0.00
176,-65.00,0,0.00,0.00
177,-65.00,0,0.00,0.00
178,-65.00,0,0.00,0.00
179,-65.00,0,0.00,0.00
180,-65.00,0,0.00,0.00
181,-65.00,0,0.00,0.00
182,-65.00,0,0.00,0.00
183,-65.00,0,0.00,0.00
184,-65.00,0,0.00,0.00
185,-65.00,0,0.00,0.00
186,-65.00,0,0.00,0.00
187,-65.00,0,0.00,0.00
188,-65.00,0,0.00,0.00
189,-65.00,0,0.00,0.00
190,-65.00,0,0.00,0.00
191,-65.00,0,0.00,0.00
192,-65.00,0,0.00,0.00
193,-65.00,0,0.00,0.00
194,-65.00,0,0.00,0.00
195,-65.00,0,0.00,0.00
196,-65.00,0,0.00,0.00
197,-65.00,0,0.00,0.00
198,-65.00,0,0.00,0.00
199,-65.00,0,0.00,0.00
