peso_inibitorio,spikes_totais,pico_spikes,timesteps_ativos,media_spikes,primeiro_recrutamento,ultimo_timestep_ativo,neuronios_ativos
-350.00,8615,17,719,8.62,282,999,20
-355.00,8615,17,719,8.62,282,999,20
-360.00,383,17,37,0.38,282,320,20
-365.00,259,17,26,0.26,282,309,20
-370.00,183,17,19,0.18,282,302,20
-375.00,159,17,17,0.16,282,301,20
-380.00,135,17,15,0.14,282,302,20
-385.00,14320,20,719,14.32,282,999,20
-390.00,14320,20,719,14.32,282,999,20
-395.00,14320,20,719,14.32,282,999,20
-400.00,14320,20,719,14.32,282,999,20
-405.00,14300,20,719,14.30,282,999,20
-410.00,31,17,5,0.03,282,288,20
-415.00,31,17,5,0.03,282,288,20
-420.00,31,17,5,0.03,282,288,20
-425.00,31,17,5,0.03,282,288,20
